data,denominazione_regione,colore
2021-01-14,Friuli Venezia Giulia,giallo
2021-01-15,Friuli Venezia Giulia,giallo
2021-01-16,Friuli Venezia Giulia,giallo
2021-01-17,Friuli Venezia Giulia,arancione
2021-01-18,Friuli Venezia Giulia,arancione
2021-01-19,Friuli Venezia Giulia,arancione
2021-01-20,Friuli Venezia Giulia,arancione
2021-01-21,Friuli Venezia Giulia,arancione
2021-01-22,Friuli Venezia Giulia,arancione
2021-01-23,Friuli Venezia Giulia,arancione
2021-01-24,Friuli Venezia Giulia,arancione
2021-01-25,Friuli Venezia Giulia,arancione
2021-01-26,Friuli Venezia Giulia,arancione
2021-01-27,Friuli Venezia Giulia,arancione
2021-01-28,Friuli Venezia Giulia,arancione
2021-01-29,Friuli Venezia Giulia,arancione
2021-01-30,Friuli Venezia Giulia,arancione
2021-01-31,Friuli Venezia Giulia,arancione
2021-02-01,Friuli Venezia Giulia,giallo
2021-02-02,Friuli Venezia Giulia,giallo
2021-02-03,Friuli Venezia Giulia,giallo
2021-02-04,Friuli Venezia Giulia,giallo
2021-02-05,Friuli Venezia Giulia,giallo
2021-02-06,Friuli Venezia Giulia,giallo
2021-02-07,Friuli Venezia Giulia,giallo
2021-02-08,Friuli Venezia Giulia,giallo
2020-11-06,Lazio,giallo
2020-11-07,Lazio,giallo
2020-11-08,Lazio,giallo
2020-11-09,Lazio,giallo
2020-11-10,Lazio,giallo
2020-11-11,Lazio,giallo
2020-11-12,Lazio,giallo
2020-11-13,Lazio,giallo
2020-11-14,Lazio,giallo
2020-11-15,Lazio,giallo
2020-11-16,Lazio,giallo
2020-11-17,Lazio,giallo
2020-11-18,Lazio,giallo
2020-11-19,Lazio,giallo
2020-11-20,Lazio,giallo
2020-11-21,Lazio,giallo
2020-11-22,Lazio,giallo
2020-11-23,Lazio,giallo
2020-11-24,Lazio,giallo
2020-11-25,Lazio,giallo
2020-11-26,Lazio,giallo
2020-11-27,Lazio,giallo
2020-11-28,Lazio,giallo
2020-11-29,Lazio,giallo
2020-11-30,Lazio,giallo
2020-12-01,Lazio,giallo
2020-12-02,Lazio,giallo
2020-12-03,Lazio,giallo
2020-12-04,Lazio,giallo
2020-12-05,Lazio,giallo
2020-12-06,Lazio,giallo
2020-12-07,Lazio,giallo
2020-12-08,Lazio,giallo
2020-12-09,Lazio,giallo
2020-12-10,Lazio,giallo
2020-12-11,Lazio,giallo
2020-12-12,Lazio,giallo
2020-12-13,Lazio,giallo
2020-12-14,Lazio,giallo
2020-12-15,Lazio,giallo
2020-12-16,Lazio,giallo
2020-12-17,Lazio,giallo
2020-12-18,Lazio,giallo
2020-12-19,Lazio,giallo
2020-12-20,Lazio,giallo
2020-12-21,Lazio,giallo
2020-12-22,Lazio,giallo
